,Symbol,logFC,P.Value,adj.P.Val
7894779,NA,-0.312135168,0.037518213,0.139222548
7894780,NA,0.004710532,0.982157003,0.991206672
7894781,NA,-0.23701645,0.307298102,0.513866834
7894782,NA,0.136998035,0.387666333,0.588815273
7894783,NA,-0.233417611,0.361626372,0.566670343
7894784,NA,-0.230561056,0.156966886,0.340069387
7894785,NA,0.184963176,0.22309419,0.42194645
7894786,NA,-0.253157605,0.317792387,0.524305476
7894787,NA,-0.230297343,0.049666324,0.165629886
7894788,NA,-0.282416299,0.035630346,0.134771461
7894789,NA,-0.125027405,0.276154137,0.481873194
7894790,NA,0.095099475,0.508211823,0.690808851
7894791,NA,-0.152541794,0.293114792,0.500215881
7894792,NA,-0.829933217,0.001258667,0.017440629
7894793,NA,0.274572763,0.373389309,0.576818402
7894794,NA,-0.334977983,0.044470406,0.154871991
7894795,NA,-0.029159715,0.834715376,0.911591652
7894796,NA,0.341947446,0.169375887,0.356042228
7894797,NA,-0.345659891,0.289694041,0.496482824
7894798,NA,0.414137269,0.000120724,0.00475036
7894799,NA,-0.10060104,0.363509011,0.568011617
7894800,NA,-0.366389855,0.118568816,0.285789787
7894801,NA,0.449367079,0.015457984,0.07855685
7894802,NA,-0.189152205,0.054248799,0.175234988
7894803,NA,-0.223963854,0.191736106,0.384731657
7894804,NA,-0.067794076,0.761672895,0.866735934
7894805,NA,-0.229705075,0.393259586,0.594010362
7894806,NA,0.030105033,0.702996345,0.828678065
7894807,NA,0.108482354,0.460448043,0.651851126
7894808,NA,0.449559638,0.000601746,0.011567521
7894809,NA,-0.595705971,0.00616869,0.044381776
7894810,NA,-0.264221842,0.13519337,0.309411595
7894811,NA,-0.06479872,0.648088117,0.792165854
7894812,NA,-0.468554921,0.056106827,0.179323192
7894813,NA,-0.010417439,0.923003058,0.96044354
7894814,NA,-0.246305455,0.274212584,0.480002565
7894815,NA,0.02564749,0.897117547,0.946820194
7894816,NA,0.298551126,0.211259496,0.408709978
7894817,NA,-0.277876225,0.104998213,0.264517326
7894818,NA,-0.076183334,0.703334976,0.828884779
7894819,NA,-0.178436819,0.280516817,0.48637209
7894820,NA,-0.114690755,0.353349061,0.55911532
7894821,NA,-0.401462153,0.169518052,0.356296085
7894822,NA,0.328593825,0.128574812,0.300347658
7894823,NA,0.026239586,0.811012049,0.897569242
7894824,NA,0.161176811,0.062529123,0.191987411
7894825,NA,0.341530769,0.241927046,0.444315766
7894826,NA,0.235812778,0.148191279,0.327775012
7894827,NA,0.832627748,0.002989923,0.02859146
7894828,NA,0.466929336,0.018671725,0.08885183
7894829,NA,-0.005028989,0.976929708,0.988898537
7894830,NA,-0.041578027,0.775330837,0.875516409
7894831,NA,-0.584300142,0.031085343,0.123190749
7894832,NA,-0.463989485,0.049460593,0.165118244
7894833,NA,-0.212838694,0.088837957,0.238148091
7894834,NA,0.421488306,0.033580512,0.129556879
7894835,NA,-0.080405714,0.46564282,0.656247735
7894836,NA,-0.207677173,0.276044918,0.481783606
7894837,NA,0.355913999,0.070851394,0.207415059
7894838,NA,0.273174932,0.343260443,0.549201776
7894840,NA,-0.183537908,0.225448187,0.425027486
7894841,NA,-0.208314004,0.412157772,0.610725705
7894842,NA,-0.23360165,0.150856119,0.331598639
7894843,NA,-0.66870692,0.000434221,0.009782313
7894844,NA,0.297264961,0.124824983,0.294853414
7894845,NA,0.315082207,0.034277976,0.131379782
7894846,NA,-0.065156658,0.342793774,0.54870258
7894847,NA,-0.744702957,0.004151363,0.034959565
7894848,NA,-0.376630506,0.077960798,0.219427201
7894849,NA,0.062258724,0.503071279,0.686752074
7894850,NA,-0.025449468,0.948829162,0.974405965
7894851,NA,-0.386167773,0.224880741,0.424269363
7894852,NA,0.094289491,0.81886629,0.902512027
7894853,NA,-0.5169384,0.000329501,0.008362335
7894854,NA,-0.496431652,0.002707802,0.027090341
7894855,NA,-0.224807617,0.337708304,0.543772591
7894856,NA,0.299146805,0.042713725,0.151205496
7894857,NA,0.273712935,0.166680535,0.352461306
7894858,NA,-0.063698266,0.326794454,0.532818041
7894859,NA,0.401595966,0.195818513,0.390172284
7894860,NA,0.741254039,0.00035499,0.00876861
7894861,NA,-0.384354873,0.079430645,0.222195733
7894862,NA,-0.027550255,0.773047059,0.873761768
7894863,NA,-0.226721251,0.295344828,0.502303439
7894864,NA,-0.243368187,0.194345332,0.388119506
7894865,NA,0.084678651,0.746220685,0.856621788
7894866,NA,-0.504151858,0.007019362,0.047864776
7894867,NA,-0.154815607,0.651254269,0.79442731
7894868,NA,-0.130728085,0.731132671,0.84718258
7894869,NA,-0.272302428,0.425689193,0.62279883
7894870,NA,0.158541458,0.330195271,0.536108442
7894871,NA,-0.677185969,0.019038846,0.090009434
7894872,NA,-0.28043579,0.030671077,0.122174285
7894873,NA,0.050320568,0.461758339,0.652873352
7894874,NA,0.182714607,0.283563731,0.489317402
7894875,NA,-0.37968872,0.133919277,0.307780493
7894876,NA,-0.262013211,0.23194409,0.432978773
7894877,NA,-0.045876435,0.769890719,0.871555138
7894878,NA,-0.130158029,0.231660829,0.432644042
7894879,NA,0.159856947,0.377136146,0.580252643
7894880,NA,-0.218089537,0.110174604,0.272830863
7894881,NA,0.031636923,0.76005053,0.86559505
7894882,NA,-0.491899089,0.039747735,0.144746573
7894883,NA,-0.081171399,0.589026225,0.7516213
7894884,NA,0.41889465,0.006150671,0.044314464
7894885,NA,-0.262089315,0.219017792,0.417426392
7894886,NA,-0.727059725,0.022616913,0.100632166
7894887,NA,-0.071585989,0.604136462,0.762284731
7894888,NA,0.176231201,0.440749803,0.635611578
7894889,NA,-0.218122045,0.0788716,0.22143235
7894890,NA,0.048203441,0.725874699,0.844073909
7894891,NA,-0.279945244,0.065177637,0.196881047
7894892,NA,0.028909465,0.698654193,0.825378475
7894893,NA,-0.569857541,0.111206683,0.2743664
7894894,NA,-0.203681567,0.194783612,0.388652403
7894895,NA,0.348906468,0.213696716,0.411250696
7894896,NA,0.145804434,0.387393901,0.588648506
7894897,NA,-0.077365749,0.582023494,0.746415831
7894898,NA,0.343809702,0.052851085,0.172274359
7894899,NA,-0.144742328,0.550704079,0.723838264
7894900,NA,-0.050785587,0.575808996,0.741690992
7894901,NA,0.163404854,0.276750014,0.482558924
7894902,NA,-0.75197013,0.128374272,0.300005485
7894903,NA,0.385383889,0.022916887,0.101444244
7894904,NA,0.055448179,0.852319858,0.921912936
7894905,NA,0.288468453,0.062146459,0.191158488
7894906,NA,0.58054966,0.001410675,0.018705835
7894907,NA,-0.423415378,0.127116797,0.298009055
7894908,NA,0.300470978,0.018127305,0.087248463
7894909,NA,-0.183691343,0.030697292,0.122234841
7894910,NA,-0.244185171,0.102749657,0.261060481
7894911,NA,-0.561697074,0.093440101,0.245783738
7894912,NA,-0.620735672,0.067269371,0.200512037
7894913,NA,-0.143635322,0.440178352,0.635062983
7894914,NA,0.104990694,0.435239674,0.631487505
7894915,NA,-0.04840437,0.751331969,0.859782815
7894916,NA,0.096441143,0.276656767,0.48247213
7894917,NA,-0.20756159,0.09709922,0.251835645
7894918,NA,0.114575901,0.686973066,0.818102367
7894919,NA,-0.05467354,0.693845662,0.822814268
7894920,NA,-0.519715875,0.116213382,0.282243397
7894921,NA,0.535305053,0.00927828,0.056894822
7894922,NA,-0.124650192,0.594569414,0.755365629
7894923,NA,-0.257601149,0.077140239,0.218413142
7894924,NA,-0.194913876,0.189284007,0.381743766
7894925,NA,0.283574566,0.309874341,0.516351378
7894926,NA,0.684255185,0.000976205,0.015030266
7894927,NA,0.520477262,0.105730666,0.265538844
7894928,NA,0.039615119,0.861286252,0.927209519
7894929,NA,0.182843706,0.459307722,0.6510118
7894930,NA,-0.091363277,0.74728111,0.857410397
7894931,NA,0.009693062,0.915774281,0.956340062
7894932,NA,0.267563571,0.113115395,0.277063654
7894933,NA,-0.197404225,0.107293442,0.268048451
7894934,NA,-0.177539223,0.17068676,0.357736327
7894935,NA,-0.830105566,0.058358198,0.183926449
7894936,NA,-0.611140893,0.002328338,0.024831757
7894937,NA,-0.398778569,0.268936163,0.475003576
7894938,NA,-0.367251182,0.040373899,0.146047273
7894939,NA,-0.155022227,0.660337912,0.799973493
7894940,NA,-0.425594435,0.200797467,0.396204638
7894941,NA,-0.231401489,0.049532586,0.165275732
7894942,NA,-0.077446387,0.585038052,0.748684116
7894943,NA,-0.180617869,0.495007848,0.68022266
7894944,NA,0.092520924,0.54143978,0.716879459
7894945,NA,-0.130197268,0.465926263,0.656485612
7894946,NA,-0.691146969,0.035526429,0.134576052
7894947,NA,0.44697171,0.084346255,0.230429705
7894948,NA,-1.272678276,0.006763031,0.046768311
7894949,NA,-0.215541653,0.633972464,0.782959873
7894950,NA,-0.2351334,0.318639148,0.524963795
7894951,NA,-0.218873304,0.142365983,0.319704068
7894952,NA,-0.42099809,0.011468564,0.064866449
7894953,NA,-0.517451607,0.004489394,0.036575328
7894954,NA,-0.206617558,0.138034751,0.313080336
7894955,NA,-0.372146826,0.074475556,0.213614473
7894956,NA,0.189806304,0.383693606,0.585725564
7894957,NA,-0.180742396,0.448117996,0.641470941
7894958,NA,-0.208983473,0.461092542,0.652375217
7894959,NA,-0.21515165,0.221612916,0.420314721
7894960,NA,-0.45808369,0.018464421,0.088360137
7894961,NA,-0.186162262,0.39757871,0.597849356
7894962,NA,-0.18447728,0.062587409,0.192088943
7894963,NA,0.052851302,0.821685455,0.904511392
7894964,NA,0.491656352,0.014059031,0.073988235
7894965,NA,-0.410832553,0.022606795,0.100610333
7894966,NA,0.475873804,0.161269509,0.345501921
7894967,NA,-0.235631636,0.24169663,0.444088549
7894968,NA,0.098522499,0.467048468,0.65735029
7894969,NA,0.032781468,0.819663368,0.903006024
7894970,NA,-0.110082455,0.333065392,0.538902686
7894971,NA,-0.146847756,0.145156462,0.323495061
7894972,NA,-0.389891128,0.125624268,0.29600957
7894973,NA,0.016781407,0.940789447,0.97006894
7894974,NA,-0.404973453,0.121790405,0.290491054
7894975,NA,-0.191329154,0.296461366,0.503379607
7894976,NA,-0.345803958,0.003569336,0.032051833
7894977,NA,1.258761383,0.004506497,0.036653944
7894978,NA,0.454825142,0.112360022,0.275903515
7894979,NA,-0.306512451,0.027888021,0.115198778
7894980,NA,-0.120631236,0.200591355,0.395938725
7894981,NA,-0.207657486,0.268644773,0.474690353
7894982,NA,-0.028677926,0.733211619,0.84840171
7894983,NA,-0.071155645,0.595075064,0.755690862
7894984,NA,-0.004992104,0.965530014,0.982346468
7894985,NA,-0.419362762,0.27404597,0.479929978
7894986,NA,0.323876949,0.101314772,0.258861109
7894987,NA,-0.863893912,0.003902241,0.033740042
7894988,NA,-0.300347435,0.088644789,0.237840897
7894989,NA,0.355608674,0.024837336,0.106834877
7894990,NA,-0.023395566,0.864208972,0.928663465
7894991,NA,-0.141037714,0.133551688,0.30735688
7894992,NA,-0.423583352,0.001877417,0.021781307
7894993,NA,0.026110001,0.908455626,0.952359643
7894994,NA,-0.274450714,0.259633189,0.465336401
7894995,NA,-0.33363519,0.165502543,0.35086552
7894996,NA,-0.470827497,0.100974887,0.25828999
7894997,NA,0.476040382,0.135257269,0.309423655
7894998,NA,0.077857311,0.321531385,0.527520598
7894999,NA,-0.092324946,0.26099202,0.466527873
7895000,NA,-0.638571254,0.00046677,0.010125106
7895001,NA,0.09735709,0.630782856,0.780613126
7895002,NA,-0.228522756,0.146375904,0.325055253
7895003,NA,0.187648049,0.186452284,0.377932776
7895004,NA,-0.38344911,0.065645401,0.19772003
7895005,NA,0.703853266,0.001111164,0.016072299
7895006,NA,0.194130502,0.33059165,0.536408107
7895007,NA,-0.286192675,0.066950131,0.199895848
7895008,NA,-0.315264208,0.00906573,0.056100176
7895009,NA,-0.34164454,0.039533964,0.144148314
7895010,NA,-0.111399252,0.433915528,0.630480247
7895011,NA,0.116124086,0.730901063,0.847057628
7895012,NA,-0.35701502,0.009368608,0.057248401
7895013,NA,-0.047458345,0.786216925,0.882476486
7895014,NA,0.078619168,0.452212441,0.644935866
7895015,NA,-0.24354871,0.058158804,0.183472455
7895016,NA,0.505794778,0.012674081,0.069006708
7895017,NA,0.004402313,0.950426258,0.975113795
7895018,NA,-0.147398608,0.720853399,0.840269598
7895019,NA,-0.248726361,0.172312339,0.359897375
7895020,NA,-0.331041726,0.055858663,0.178809057
7895021,NA,0.003863378,0.979819293,0.990085145
7895022,NA,0.213242321,0.469569263,0.659364896
7895023,NA,-0.008078633,0.973150931,0.986723303
7895024,NA,-0.854523163,0.069199817,0.204185913
7895025,NA,-0.384091327,0.124422916,0.294178075
