"","Gene.name","ENSEMBLE ID","log2FoldChange","pvalue","padj"
"6979","UBASH3B","ENSG00000154127",-0.000149506428305821,0.999215800279049,0.999602041261078
"6980","ROBO4","ENSG00000154133",0.0111184634041256,0.550128336669699,0.890429756602661
"6981","ROBO3","ENSG00000154134",0.0215792908311639,0.390269523752566,0.804624195173209
"6982","TBRG1","ENSG00000154144",0.0849681673543955,0.0683620348381601,0.384946814179856
"6983","NRGN","ENSG00000154146",-0.00672406600957276,0.826595083279106,0.967406031470665
"6984","RETREG1","ENSG00000154153",0.00183169706846314,0.922671532573801,0.985536350500426
"6985","TOMM70","ENSG00000154174",-0.114720572010806,0.0471056353141541,0.324867147580748
"6986","ANGPT1","ENSG00000154188",-0.0585813674735579,0.173379734635528,0.594329416407464
"6987","PITPNC1","ENSG00000154217",0.611302606281141,8.50512393166714e-06,0.000723115536814599
"6988","CC2D1B","ENSG00000154222",0.0726814113468828,0.213490839569253,0.646947001525689
"6989","PRKCA","ENSG00000154229",0.0333952861662845,0.343335695143617,0.7737755654766
"6990","LRRK1","ENSG00000154237",0.0346272014431606,0.517692000043944,0.879202923875588
"6991","ABCA5","ENSG00000154265",0.0193548360856986,0.585256550414067,0.902259196711373
"6992","ENPP3","ENSG00000154269",-0.0145697907185084,0.604597901906688,0.907132534041508
"6993","MIA3","ENSG00000154305",0.000895110656919437,0.982542465949422,0.996447724912131
"6994","DISP1","ENSG00000154309",0.0513500328575817,0.298603008280516,0.734900309018012
"6995","TNIK","ENSG00000154310",-0.00438184719469344,0.909874919426402,0.982661070678041
"6996","NEIL2","ENSG00000154328",0.0300727637093139,0.439982146062867,0.836270689093076
"6997","PGM5","ENSG00000154330",0.0097194787059718,0.352274052403497,0.778902851315092
"6998","OBSCN","ENSG00000154358",0.0160970391778415,0.549569487434734,0.890385043815311
"6999","LONRF1","ENSG00000154359",-0.0397607059458985,0.470805479071723,0.853783234759453
"7000","TRIM11","ENSG00000154370",0.00593357878924906,0.904274421568724,0.979809852942591
"7001","ENAH","ENSG00000154380",-0.0260327430995762,0.272496968659216,0.710375371412223
"7002","CCSAP","ENSG00000154429",-0.0272767266245331,0.410003384154425,0.815793013865461
"7003","SH3RF1","ENSG00000154447",-0.0306560952531352,0.560565962431667,0.892809492589399
"7004","GBP5","ENSG00000154451",0.0429832193674072,0.255458497542246,0.691703242989609
"7005","BUB3","ENSG00000154473",-0.251133182096158,7.11918239001436e-05,0.00358614864655614
"7006","DIPK1A","ENSG00000154511",-0.0288339162641999,0.363115695372747,0.787968414442224
"7007","ATP5MC3","ENSG00000154518",-0.210585992056301,0.00900242744795631,0.123535445483527
"7008","MAGED4","ENSG00000154545",0.00602192355904142,0.746160379661273,0.948443844310971
"7009","SRSF12","ENSG00000154548",-0.00816174632873795,0.772060348365363,0.957961428258281
"7010","ELOC","ENSG00000154582",-0.0576256629767943,0.189354437384617,0.614874647598047
"7011","CEP170P1","ENSG00000154608",-0.00827333464309895,0.844965530575425,0.971688823747448
"7012","TMSB4Y","ENSG00000154620",-0.000520296000185057,0.942007572027795,0.98922491667198
"7013","CXADR","ENSG00000154639",0.000461830095153045,0.970676517713056,0.993193355290348
"7014","BTG3","ENSG00000154640",-0.0201489581634659,0.708088648057437,0.938453476084563
"7015","C21orf91","ENSG00000154642",-0.000385940491090323,0.987747966712859,0.996992592783224
"7016","L3MBTL4","ENSG00000154655",0.0101229421369454,0.629047561103117,0.915345943979533
"7017","PDE1C","ENSG00000154678",0.010696072135541,0.445181556156188,0.840019839583771
"7018","RABGEF1","ENSG00000154710",0.00288585381085923,0.943585369332625,0.98954250745503
"7019","MRPL39","ENSG00000154719",-0.191913313148544,0.0193581828230865,0.197589765019404
"7020","ATP5PF","ENSG00000154723",-0.0824149836575934,0.157579135182433,0.569660095218565
"7021","GABPA","ENSG00000154727",-0.058614842384228,0.298294706162447,0.734900309018012
"7022","ADAMTS1","ENSG00000154734",-0.0137730748654435,0.670136242718142,0.927592323562566
"7023","TSEN2","ENSG00000154743",-0.0287577473711498,0.527166655029571,0.883417699708076
"7024","SLFN13","ENSG00000154760",-0.00870672216184481,0.868000983730931,0.974920854823534
"7025","XPC","ENSG00000154767",0.0268999256384451,0.618808432407541,0.911577062539471
"7026","CCDC174","ENSG00000154781",0.172859315466907,0.0068239950380871,0.103643455828943
"7027","FGD5","ENSG00000154783",0.00494547715724676,0.779563046852744,0.959329519567777
"7028","FLCN","ENSG00000154803",0.0464065760357692,0.354375414736963,0.78113285862939
"7029","DPH3","ENSG00000154813",-0.0750991671048484,0.17390567613446,0.595205603792254
"7030","OXNAD1","ENSG00000154814",-0.0686210828248039,0.239184244644881,0.676731364899695
"7031","PLCL2","ENSG00000154822",-0.0163977864316895,0.740074655152277,0.94772094262003
"7032","CXXC1","ENSG00000154832",0.0840939466747978,0.167821087749819,0.585606310326132
"7033","SKA1","ENSG00000154839",-0.000547130435486451,0.981564743023515,0.996447724912131
"7034","PPP4R1","ENSG00000154845",-0.0113787921183384,0.808644475196973,0.963945307977801
"7035","PIEZO2","ENSG00000154864",-0.0121190297970902,0.736299774668727,0.945943783548403
"7036","CCDC144B","ENSG00000154874",0.0255998362758983,0.126303409161526,0.515119157821461
"7037","MPPE1","ENSG00000154889",0.248078487858656,0.00637170989830411,0.0998444874670333
"7038","CCDC144CP","ENSG00000154898",0.00779108091208671,0.731263333118557,0.944815510161783
"7039","USP43","ENSG00000154914",-0.0255570301431823,0.609799128541337,0.908246155042471
"7040","RAB6B","ENSG00000154917",0.00841978250501032,0.69654940546035,0.934317661154959
"7041","EME1","ENSG00000154920",-0.260924924106462,0.00135270637442357,0.0334925096003272
"7042","ACSS1","ENSG00000154930",0.00856616054216773,0.817724798290692,0.966166570198767
"7043","ANKRD40","ENSG00000154945",-0.0542615075691971,0.339513538265036,0.770964979319272
"7044","ZNF18","ENSG00000154957",0.0481908354110544,0.388959926361651,0.804265645553892
"7045","VOPP1","ENSG00000154978",-0.113435333760329,0.0773397653716449,0.409264974836749
"7046","APOOL","ENSG00000155008",-0.016105278013791,0.745435838930679,0.948197007291572
"7047","CYP2U1","ENSG00000155016",-0.0303300068136332,0.45545744526287,0.845991323683034
"7048","FBXL18","ENSG00000155034",-0.0388822266001334,0.468778248723528,0.853242021482307
"7049","AK9","ENSG00000155085",0.0970089081668654,0.0422172151328105,0.305993879101999
"7050","KLF10","ENSG00000155090",0.0182407172962929,0.684174347600968,0.931331908033005
"7051","AZIN1","ENSG00000155096",0.0315047674997169,0.549286156323024,0.890385043815311
"7052","ATP6V1C1","ENSG00000155097",0.00446185858120515,0.851054315677719,0.972665344708423
"7053","PIP4P2","ENSG00000155099",0.0158325739332753,0.728552232124547,0.943334868617385
"7054","OTUD6B","ENSG00000155100",-0.0424894572944723,0.385955269116478,0.802211341230156
"7055","CDK19","ENSG00000155111",-0.0324580718345898,0.290049577398681,0.729162493620056
"7056","GTF3C6","ENSG00000155115",-0.223395139262819,0.00210138994120463,0.0468989374516906
"7057","TTC39B","ENSG00000155158",0.0109486605784818,0.646630461217303,0.920972363593623
"7058","AGPAT5","ENSG00000155189",-0.0717963670119741,0.224905276830129,0.660237577816332
"7059","MMS19","ENSG00000155229",-0.0897482501169765,0.145607213620827,0.549746057914903
"7060","PI4K2A","ENSG00000155252",0.011610201247255,0.736466564820353,0.945943783548403
"7061","MARVELD1","ENSG00000155254",-0.00647033547809035,0.893153333710096,0.97913739257996
"7062","ZFYVE27","ENSG00000155256",0.225450553224901,1.15382160011713e-05,0.000917859370905061
"7063","TRMT44","ENSG00000155275",0.12781539702229,0.0643824727718846,0.376067595409456
"7064","SLC25A28","ENSG00000155287",0.27781032198531,0.00398605152528031,0.072758730307168
"7065","HSPA13","ENSG00000155304",-0.11403787799895,0.0831862548534574,0.422506153627922
"7066","SAMSN1","ENSG00000155307",0.0314600285585917,0.507824324353807,0.874169900402289
"7067","USP25","ENSG00000155313",-0.0573023399294628,0.333108517885897,0.765439836108749
"7068","GRAMD2B","ENSG00000155324",-0.034049736937745,0.398992017325867,0.808691788739785
"7069","ZCCHC10","ENSG00000155329",-0.0452820096697385,0.188359087330431,0.613445921020003
"7070","C16orf87","ENSG00000155330",-0.077050318607752,0.198557608103224,0.626841297565955
"7071","MOV10","ENSG00000155363",-0.0390936006528303,0.463732991836475,0.849985825411079
"7072","RHOC","ENSG00000155366",0.0223065794299103,0.467766357039413,0.853242021482307
"7073","DBI","ENSG00000155368",-0.0757757511455832,0.143802154312432,0.54700684691431
