,Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
8116595,WRNIP1,-0.095175844,9.565190946,-0.797056658,0.434378131,0.607148377,-5.972320761
8116607,LINC01011,0.156002843,7.61926946,1.137318542,0.268273719,0.450578059,-5.654295786
8116610,NQO2,0.005394587,9.909895454,0.031253488,0.975363856,0.986563696,-6.288473755
8116620,NA,0.401942512,7.421603014,2.65214429,0.014941653,0.101356119,-3.236217667
8116622,RIPK1,-0.250733636,9.033613472,-1.083495442,0.290927737,0.473530863,-5.711318855
8116635,NA,-0.332860199,7.87862963,-1.90538254,0.070577571,0.213871623,-4.5991997
8116649,TUBB2A,0.307103237,8.254308049,2.592999285,0.017011707,0.106791456,-3.353079636
8116651,NA,0.030452904,8.104446805,0.195446335,0.846930758,0.911987619,-6.269649342
8116653,TUBB2A,0.307103237,8.254308049,2.592999285,0.017011707,0.106791456,-3.353079636
8116655,PSMG4,-0.05355018,8.904620367,-0.199676126,0.843663418,0.910051212,-6.26880494
8116658,FAM50B,-0.167203643,8.190950767,-0.981431444,0.337602787,0.518551526,-5.812643894
8116662,NA,0.134175619,4.097642371,0.946444029,0.354734653,0.534703473,-5.845286348
8116664,PRPF4B,-0.400414247,9.713075506,-2.328569284,0.029999383,0.138580668,-3.858714904
8116696,C6orf201,0.273741249,5.881109145,2.645953988,0.015146625,0.101849035,-3.248508059
8116707,KU-MEL-3,0.268809211,5.895270995,2.28854237,0.03262386,0.144221544,-3.932625525
8116710,CDYL,0.04224078,9.082563476,0.303056049,0.764842406,0.857787291,-6.242581039
8116722,NA,-0.261055879,7.702650346,-1.103535152,0.282336445,0.464979553,-5.690373645
8116724,FARS2,-0.592118417,9.420405979,-4.717703,0.000118334,0.011453953,1.26414822
8116734,LY86,0.657518772,6.042221244,3.361132593,0.002969215,0.051172861,-1.755153491
8116740,RREB1,0.25993028,9.900972682,2.531629183,0.019442926,0.112490177,-3.472958989
8116760,RIOK1,-0.90258678,9.250526745,-4.106021881,0.000508246,0.023365342,-0.106342475
