,Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B, -log10
8155024,NA,0.062033713,6.370630487,0.702643397,0.488821603,0.999903525,-4.890172741,0.310849609
8155026,ATP8B5P,-0.052980874,4.785107348,-0.962326045,0.345175853,0.999903525,-4.762968823,0.461959593
8155048,RUSC2,0.054310816,8.429633227,0.549614575,0.587499615,0.999903525,-4.947541664,0.230992414
8155062,TESK1,0.06905972,9.640456857,0.759904015,0.454475771,0.999903525,-4.865294369,0.342489265
8155073,CCDC107,0.034001221,7.755566224,0.523193458,0.605483386,0.999903525,-4.956079883,0.217897769
8155081,NA,0.035683207,5.561596086,0.413557723,0.682752511,0.999903525,-4.987130998,0.165736694
8155083,CA9,0.033928471,7.780412,0.504647474,0.618261295,0.999903525,-4.961829652,0.208827941
8155096,CREB3,-0.088580587,9.15126842,-0.521490184,0.60665167,0.999903525,-4.956616337,0.217060603
8155110,NA,0.083872646,9.149951178,1.522141145,0.140623784,0.999903525,-4.373581022,0.85194122
8155121,NPR2,-0.009729504,7.398935643,-0.130639389,0.897114535,0.999903525,-5.034020388,0.047152107
8155148,TMEM8B,0.056841973,7.559879794,0.311900856,0.757723072,0.999903525,-5.009539735,0.120489489
8155167,HRCT1,-0.028671946,6.546814445,-0.329526727,0.744524684,0.999903525,-5.006098341,0.128120899
8155169,RECK,0.057927895,8.26010619,0.566263202,0.576303864,0.999903525,-4.94195291,0.239348469
8155192,GLIPR2,-0.132347104,9.735729248,-0.829031756,0.414994856,0.999903525,-4.832840351,0.381957286
8155200,CCIN,-0.051884162,6.760413667,-0.751151274,0.459630644,0.999903525,-4.869215615,0.337591024
8155203,CLTA,-0.027991393,9.862725445,-0.400716101,0.692060575,0.999903525,-4.990302607,0.159855891
8155212,NA,0.074342006,5.59451907,0.71285726,0.482588235,0.999903525,-4.885869485,0.31642327
8155214,MELK,-0.153512221,7.779318442,-0.5054204,0.617726266,0.999903525,-4.961594046,0.209203932
8155234,ZCCHC7,-0.056004537,8.370998827,-0.686720195,0.49863053,0.999903525,-4.896764301,0.302221134
8155246,NA,-0.04363163,8.500035405,-0.228594593,0.821058533,0.999903525,-5.023267509,0.085625881
8155248,NA,0.077649043,4.561271426,0.371959908,0.713082144,0.999903525,-4.997048196,0.146860438
8155250,GRHPR,-0.051556507,8.91635633,-0.457801287,0.651081088,0.999903525,-4.97545391,0.186364919
8155265,NA,-0.086772254,4.798018032,-0.862258237,0.396806999,0.999903525,-4.816312948,0.401420676
8155268,POLR1E,-0.120966182,8.787103451,-0.925642901,0.363552119,0.999903525,-4.783139748,0.43943332
8155284,FRMPD1,0.040674063,5.990502084,0.796275535,0.433428683,0.999903525,-4.848545914,0.363082352
8155301,TRMT10B,0.085065247,8.136254977,1.976954035,0.059266015,0.999903525,-3.961726883,1.227194273
8155312,DCAF10,0.006014932,9.281131934,0.037471677,0.970408932,0.999903525,-5.038813411,0.013045215
8155323,NA,-0.110299931,6.664202163,-1.314406356,0.200736953,0.999903525,-4.53499063,0.697372672
8155325,NA,-0.12527716,4.654816367,-1.097313609,0.283045045,0.999903525,-4.682764213,0.548144443
8155327,ALDH1B1,-0.319354975,9.030925883,-1.474233061,0.153000875,0.999903525,-4.412437589,0.815306085
8155332,FAM220A,-0.045278432,9.090605947,-0.378715442,0.708122079,0.999903525,-4.995507866,0.149891864
8155336,NA,0.074695429,5.396752344,1.178741641,0.249687299,0.999903525,-4.6299735,0.602603549
8155338,NA,0.005418541,5.330220081,0.10113799,0.920254176,0.999903525,-5.036112343,0.036092203
8155340,NA,-0.020552442,6.551991893,-0.26374837,0.794153071,0.999903525,-5.017986562,0.10009578
8155345,NA,0.053271065,6.711784761,0.587516073,0.562168905,0.999903525,-4.934585185,0.25013318
8155349,NA,-0.026493902,6.40786102,-0.347520622,0.731132399,0.999903525,-5.002392462,0.136003971
8155354,NA,-0.029902798,6.25407875,-0.401918828,0.691186668,0.999903525,-4.990009726,0.160404647
8155359,NA,-0.097738777,4.711149988,-0.919283461,0.366802818,0.999903525,-4.786564544,0.435567336
8155369,NA,0.005418541,5.330220081,0.10113799,0.920254176,0.999903525,-5.036112343,0.036092203
8155371,NA,-0.033539732,6.550776096,-0.470739167,0.641941184,0.999903525,-4.971820366,0.192504761
8155376,NA,0.014037735,6.127674939,0.190526409,0.850447722,0.999903525,-5.028140369,0.070352378
8155383,NA,-0.030877268,6.558370312,-0.437476353,0.665552192,0.999903525,-4.980962294,0.176817882
8155388,NA,0.035124566,6.141626381,0.384619436,0.703797961,0.999903525,-4.994139365,0.152551996
8155393,NA,0.090170643,8.976188425,0.69785558,0.49175932,0.999903525,-4.892169726,0.3082474
8155397,NA,0.003959433,6.571344184,0.033767892,0.97333256,0.999903525,-5.038894192,0.011738748
8155414,NA,0.098914931,5.826418231,0.596323962,0.55636342,0.999903525,-4.931455283,0.254641432
8155418,NA,0.043701366,6.083104628,0.673322252,0.506969215,0.999903525,-4.902199599,0.295018412
8155422,NA,-0.091139938,9.65260701,-0.866204959,0.394680993,0.999903525,-4.814310145,0.403753788
8155440,NA,0.004737748,7.590834904,0.05452323,0.956955169,0.999903525,-5.03833318,0.019108407
8155442,NA,-0.06241966,6.965709207,-0.50808837,0.615881122,0.999903525,-4.960778094,0.210503108
8155451,NA,0.05789463,6.309696284,0.502849364,0.619506798,0.999903525,-4.962376404,0.207953924
8155453,NA,0.156622781,9.700017622,0.790689472,0.436621782,0.999903525,-4.851165595,0.359894602
8155455,LINC00268,0.017410907,8.593644064,0.092237864,0.927250122,0.999903525,-5.036639018,0.032803101
8155458,NA,-0.107441289,7.848828455,-1.297509343,0.206396269,0.999903525,-4.547286023,0.685298158
8155460,NA,-0.050221606,5.217750829,-0.586525215,0.562823942,0.999903525,-4.934934488,0.249627436
8155487,NA,-0.127802284,6.590393356,-0.660163457,0.515234214,0.999903525,-4.907438891,0.287995305
8155490,NA,0.109070794,9.657134943,0.882333926,0.386068915,0.999903525,-4.806038319,0.413335165
8155493,NA,-0.248795385,6.052377423,-0.490166894,0.628324393,0.999903525,-4.966178885,0.20181608
8155497,NA,0.011496014,8.669472579,0.122096276,0.903806779,0.999903525,-5.034680874,0.043924406
8155501,LOC101930026,0.031524837,5.983706048,0.409517345,0.685675689,0.999903525,-4.988139469,0.163881248
8155503,NA,0.018267595,7.130795879,0.263799016,0.794114486,0.999903525,-5.017978414,0.100116882
8155508,NA,0.102667675,5.238172225,0.810858321,0.425160709,0.999903525,-4.841626376,0.371446877
8155510,NA,0.01967871,8.871435388,0.199307312,0.843647472,0.999903525,-5.027094552,0.073838991
8155514,NA,-0.07283309,7.933704296,-0.686840033,0.498556296,0.999903525,-4.896715227,0.302285795
8155516,NA,0.023084615,6.694797114,0.331853692,0.742788069,0.999903525,-5.005630046,0.129135081
8155519,NA,-0.248795385,6.052377423,-0.490166894,0.628324393,0.999903525,-4.966178885,0.20181608
8155521,NA,0.006884081,8.256644731,0.045063739,0.964417409,0.999903525,-5.038621573,0.015734959
8155525,NA,0.087160043,6.978089217,1.102020414,0.281033344,0.999903525,-4.67980149,0.551242149
8155528,NA,0.058227945,5.291631111,0.426183026,0.673650889,0.999903525,-4.983917208,0.171565113
8155530,NA,-0.056935732,6.753852948,-0.527575218,0.60248284,0.999903525,-4.95469204,0.220055318
8155537,LOC101930026,0.033224559,5.894765549,0.447423476,0.658452989,0.999903525,-4.978297006,0.181475227
8155540,NA,-0.037073589,4.593871452,-0.354563659,0.72591381,0.999903525,-5.000889025,0.139114941
8155547,NA,0.031978091,8.003209155,0.353689911,0.726560493,0.999903525,-5.001077155,0.138728221
8155550,NA,0.067137394,9.196986501,0.595370005,0.556990694,0.999903525,-4.931796433,0.254152061
8155554,NA,-0.054595487,7.023340939,-0.466588406,0.644867293,0.999903525,-4.97299685,0.190529649
8155563,NA,-0.148361949,7.752224315,-1.10587036,0.279395542,0.999903525,-4.677369946,0.553780528
8155567,NA,-0.248795385,6.052377423,-0.490166894,0.628324393,0.999903525,-4.966178885,0.20181608
8155569,LOC105379807,0.015702248,7.659280219,0.139820412,0.889931248,0.999903525,-5.033260906,0.050643544
8155572,LINC01597,-0.013917694,7.812510638,-0.128184857,0.899036519,0.999903525,-5.034214716,0.046222667
8155574,NA,0.00964982,6.541202226,0.082948332,0.934558524,0.999903525,-5.037137076,0.029393497
8155591,NA,0.066328422,5.836644318,0.419290373,0.67861365,0.999903525,-4.985683483,0.168377409
8155596,NA,0.164211098,9.359561994,0.964747542,0.343985301,0.999903525,-4.761612511,0.463460115
8155598,NA,0.179209212,5.405795823,1.544913694,0.135033534,0.999903525,-4.354781749,0.869558366
8155600,NA,0.179209212,5.405795823,1.544913694,0.135033534,0.999903525,-4.354781749,0.869558366
8155602,NA,0.014241937,6.488769482,0.110469214,0.912926404,0.999903525,-5.035508161,0.039564232
8155627,NA,0.031386016,6.122469044,0.624553699,0.537968074,0.999903525,-4.921122986,0.269243497
8155630,NA,-0.185491715,8.476203941,-1.451912567,0.159060618,0.999903525,-4.430214822,0.798437335
