,ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
7894754,NA,-0.854980309,8.961293545,-4.717194569,0.000453322,0.008465657,0.032030095
7894755,NA,-0.809378035,4.883981584,-3.337242568,0.005654792,0.039177613,-2.471251896
7894756,NA,-0.311341338,9.41797813,-2.046222078,0.062477884,0.185711988,-4.759952608
7894757,NA,0.585646253,12.07943082,5.498581919,0.000120048,0.003926575,1.358278471
7894758,NA,0.276376807,13.09655168,3.299478983,0.006071745,0.041008298,-2.540975345
7894759,NA,0.412248211,5.137483895,0.853274585,0.409638946,0.606078724,-6.298136145
7894760,NA,0.545303027,9.897785543,4.116466639,0.001328811,0.015996178,-1.039728314
7894761,NA,-0.151306459,12.48808165,-1.734921201,0.107444616,0.263438845,-5.243448784
7894762,NA,-1.842302485,7.232128171,-7.868572918,3.55E-06,0.000657874,4.836113047
7894763,NA,-0.74908956,10.32838964,-2.224728568,0.045304872,0.150565557,-4.465091197
7894764,NA,0.193283673,5.571002937,0.819085689,0.428153381,0.622162134,-6.326895691
7894765,NA,0.175093051,6.807374989,0.850731945,0.410997218,0.607249483,-6.300311026
7894766,NA,-0.618788309,7.138298333,-2.106743636,0.056068735,0.173023232,-4.661243887
7894767,NA,-0.150935247,12.92960037,-2.110104556,0.055731451,0.172426761,-4.655722802
7894768,NA,-0.227031978,12.39540839,-1.681227384,0.117638761,0.278870697,-5.322162639
7894769,NA,-0.269169418,11.43133728,-3.407620423,0.004953328,0.035972387,-2.341261448
7894770,NA,-0.390761029,13.65614754,-5.860444987,6.68E-05,0.002906314,1.942814056
7894771,NA,-0.047533607,11.24544559,-0.327014944,0.74909454,0.859835973,-6.617597242
7894772,NA,-0.226879267,8.568975177,-1.295563726,0.218654528,0.411213772,-5.837839687
7894773,NA,-0.064942656,3.080494714,-0.961158285,0.354786411,0.555450588,-6.200627837
7894774,NA,0.312242821,12.13183418,2.081650919,0.058647814,0.178142334,-4.702334633
7894775,NA,-0.154576697,7.67138328,-0.751446268,0.46636548,0.654711106,-6.380669333
7894776,NA,-1.673397327,6.135972583,-7.554390894,5.43E-06,0.00083929,4.421392183
7894777,NA,-0.47541397,7.721486834,-2.40681142,0.032449993,0.121141881,-4.153938789
7894778,NA,-0.781780258,5.898353982,-2.075422273,0.059304929,0.179450765,-4.712498485
7894779,NA,-0.078481161,12.38540573,-0.591970219,0.56447643,0.73199251,-6.490490806
